identifier,tm_arrival,tm_service1,tm_service2,tm_arrival_queue1,tm_start_service1,tm_end_service1,tm_arrival_queue2,tm_start_service2,tm_end_service2
1, 5.872428, 6.359445, 0.441573, 5.872428, 5.872428, 12.231873, 12.231873, 12.349842, 12.791415
2, 6.814677, 0.082740, 0.066355, 6.814677, 12.231873, 12.314613, 12.314613, 12.791415, 12.857770
3, 11.746318, 0.035230, 0.320727, 11.746318, 12.314613, 12.349842, 12.349842, 12.857770, 13.178497
4, 29.184969, 0.170368, 0.842592, 29.184969, 29.184969, 29.355337, 29.355337, 29.355337, 30.197929
5, 40.862633, 1.161942, 0.998620, 40.862633, 40.862633, 42.024574, 42.024574, 42.024574, 43.023194
6, 52.781237, 4.656232, 0.602000, 52.781237, 52.781237, 57.437469, 57.437469, 58.278704, 58.880704
7, 56.018976, 0.841235, 2.871865, 56.018976, 57.437469, 58.278704, 58.278704, 58.880704, 61.752570
8, 62.004794, 0.044610, 0.496132, 62.004794, 62.004794, 62.049405, 62.049405, 62.049405, 62.545537
9, 74.903152, 0.232120, 0.832669, 74.903152, 74.903152, 75.135272, 75.135272, 75.135272, 75.967941
10, 76.212601, 1.395440, 5.205580, 76.212601, 76.212601, 77.608041, 77.608041, 77.608041, 82.813621
11, 92.587680, 2.743173, 0.325771, 92.587680, 92.587680, 95.330853, 95.330853, 97.244084, 97.569855
12, 92.639757, 0.868396, 0.080526, 92.639757, 95.330853, 96.199249, 96.199249, 97.569855, 97.650381
13, 94.033846, 1.044835, 0.921696, 94.033846, 96.199249, 97.244084, 97.244084, 97.650381, 98.572077
14, 131.347145, 1.757166, 1.321646, 131.347145, 131.347145, 133.104311, 133.104311, 133.104311, 134.425957
15, 140.379908, 1.663495, 0.115203, 140.379908, 140.379908, 142.043403, 142.043403, 142.043403, 142.158606
16, 177.904221, 0.571563, 0.332750, 177.904221, 177.904221, 178.475784, 178.475784, 178.475784, 178.808534
17, 190.523756, 0.815771, 0.295935, 190.523756, 190.523756, 191.339527, 191.339527, 191.339527, 191.635462
18, 211.464856, 0.686147, 0.263006, 211.464856, 211.464856, 212.151003, 212.151003, 212.151003, 212.414008
19, 228.622521, 0.579980, 1.758248, 228.622521, 228.622521, 229.202501, 229.202501, 229.202501, 230.960749
20, 247.477979, 0.151181, 0.403047, 247.477979, 247.477979, 247.629160, 247.629160, 247.629160, 248.032207
21, 302.159193, 0.193840, 0.364101, 302.159193, 302.159193, 302.353033, 302.353033, 302.353033, 302.717134
22, 340.604806, 0.159426, 0.033598, 340.604806, 340.604806, 340.764232, 340.764232, 340.764232, 340.797830
23, 343.253553, 0.231401, 0.633562, 343.253553, 343.253553, 343.484954, 343.484954, 343.484954, 344.118515
24, 359.445675, 1.816067, 0.262858, 359.445675, 359.445675, 361.261741, 361.261741, 361.261741, 361.524600
25, 414.643229, 1.040649, 0.714611, 414.643229, 414.643229, 415.683879, 415.683879, 415.683879, 416.458892
26, 416.278911, 0.060403, 0.161337, 416.278911, 416.278911, 416.339314, 416.339314, 416.458892, 416.620229
27, 419.116203, 1.533315, 0.168759, 419.116203, 419.116203, 420.649518, 420.649518, 420.649518, 420.818277
28, 431.713121, 0.188182, 0.288920, 431.713121, 431.713121, 431.901303, 431.901303, 431.901303, 432.190223
29, 433.789649, 0.069481, 1.225194, 433.789649, 433.789649, 433.859130, 433.859130, 433.859130, 435.084324
30, 497.414577, 2.765196, 3.067302, 497.414577, 497.414577, 500.179772, 500.179772, 500.179772, 503.247075
31, 514.834466, 1.407960, 0.017038, 514.834466, 514.834466, 516.242427, 516.242427, 516.242427, 516.259465
32, 516.584579, 0.692565, 1.294360, 516.584579, 516.584579, 517.277143, 517.277143, 517.277143, 518.571503
33, 560.034686, 1.425234, 0.326102, 560.034686, 560.034686, 561.459920, 561.459920, 561.459920, 561.786022
34, 572.608548, 1.093783, 0.429712, 572.608548, 572.608548, 573.702330, 573.702330, 573.702330, 574.132043
35, 593.213702, 1.628106, 0.839776, 593.213702, 593.213702, 594.841808, 594.841808, 594.841808, 595.681584
36, 598.324874, 1.000916, 0.005818, 598.324874, 598.324874, 599.325790, 599.325790, 599.325790, 599.331608
37, 644.323986, 1.642830, 1.026382, 644.323986, 644.323986, 645.966816, 645.966816, 645.966816, 646.993198
38, 661.334856, 0.105750, 0.994859, 661.334856, 661.334856, 661.440606, 661.440606, 661.440606, 662.435466
39, 666.339438, 0.555304, 0.665325, 666.339438, 666.339438, 666.894742, 666.894742, 666.894742, 667.560067
40, 699.260907, 0.369582, 0.085303, 699.260907, 699.260907, 699.630489, 699.630489, 699.630489, 699.715792
41, 699.943112, 0.007230, 2.518724, 699.943112, 699.943112, 699.950342, 699.950342, 699.950342, 702.469066
