identifier,tm_arrival,tm_service1,tm_service2,tm_arrival_queue1,tm_start_service1,tm_end_service1,tm_arrival_queue2,tm_start_service2,tm_end_service2
1, 2.804237, 0.572169, 0.526724, 2.804237, 2.804237, 3.376406, 3.376406, 3.376406, 3.903131
2, 5.708319, 1.111244, 0.296681, 5.708319, 5.708319, 6.819563, 6.819563, 7.187583, 7.484265
3, 6.513696, 0.368020, 0.863765, 6.513696, 6.819563, 7.187583, 7.187583, 7.484265, 8.348029
4, 9.136734, 0.104436, 0.240497, 9.136734, 9.136734, 9.241170, 9.241170, 9.241170, 9.481668
5, 10.398074, 0.035797, 0.305320, 10.398074, 10.398074, 10.433872, 10.433872, 10.433872, 10.739192
