identifier,tm_arrival,tm_service1,tm_service2,tm_arrival_queue1,tm_start_service1,tm_end_service1,tm_arrival_queue2,tm_start_service2,tm_end_service2
1, 6.363469, 0.596311, 1.390490, 6.363469, 6.363469, 6.959780, 6.959780, 8.208568, 10.713571
2, 6.876706, 1.036127, 0.044608, 6.876706, 6.959780, 7.995908, 7.995908, 10.713571, 10.758179
3, 7.812193, 0.212661, 0.439076, 7.812193, 7.995908, 8.208568, 8.208568, 10.758179, 11.197255
4, 8.597471, 1.114513, 0.316618, 8.597471, 8.597471, 9.711984, 9.711984, 11.197255, 11.513872
5, 18.817971, 0.735234, 0.641039, 18.817971, 18.817971, 19.553205, 19.553205, 19.553205, 20.194245
6, 22.210406, 0.470345, 0.286350, 22.210406, 22.210406, 22.680751, 22.680751, 22.680751, 22.967102
7, 33.971686, 0.120508, 0.928112, 33.971686, 33.971686, 34.092194, 34.092194, 34.092194, 35.020305
8, 35.479324, 0.408075, 0.171161, 35.479324, 35.479324, 35.887399, 35.887399, 35.887399, 36.058560
9, 41.055124, 0.517482, 1.069542, 41.055124, 41.055124, 41.572606, 41.572606, 41.572606, 42.642148
10, 45.112184, 1.073055, 0.063817, 45.112184, 45.112184, 46.185239, 46.185239, 46.185239, 46.249056
11, 46.626911, 0.538453, 0.808112, 46.626911, 46.626911, 47.165364, 47.165364, 47.165364, 47.973476
12, 49.978322, 0.676027, 1.866346, 49.978322, 49.978322, 50.654349, 50.654349, 50.654349, 52.613319
13, 51.651185, 0.092624, 0.359429, 51.651185, 51.651185, 51.743810, 51.743810, 52.613319, 52.972748
14, 53.898798, 0.379020, 0.387940, 53.898798, 53.898798, 54.277818, 54.277818, 54.277818, 54.665758
15, 59.425691, 2.021713, 0.882833, 59.425691, 59.425691, 61.447405, 61.447405, 67.661836, 68.544670
16, 59.734492, 0.184856, 1.038886, 59.734492, 61.447405, 61.632261, 61.632261, 68.544670, 69.583555
17, 61.442342, 3.573688, 1.395242, 61.442342, 61.632261, 65.205949, 65.205949, 69.583555, 70.978797
18, 61.528739, 1.335743, 0.410745, 61.528739, 65.205949, 66.541691, 66.541691, 70.978797, 71.389542
19, 64.181127, 1.111641, 1.376683, 64.181127, 66.541691, 67.653333, 67.653333, 71.389542, 72.766225
20, 66.022233, 0.008504, 0.135536, 66.022233, 67.653333, 67.661836, 67.661836, 72.766225, 72.901761
21, 79.018275, 0.240083, 0.024295, 79.018275, 79.018275, 79.258358, 79.258358, 79.258358, 79.282652
22, 81.302786, 0.879803, 0.576023, 81.302786, 81.302786, 82.182589, 82.182589, 82.182589, 82.758612
23, 84.675053, 0.215817, 0.457252, 84.675053, 84.675053, 84.890870, 84.890870, 84.890870, 85.348121
24, 87.185622, 0.328272, 0.538675, 87.185622, 87.185622, 87.513894, 87.513894, 87.513894, 88.052569
25, 88.733316, 0.204035, 0.035039, 88.733316, 88.733316, 88.937351, 88.937351, 88.937351, 88.972389
26, 96.389825, 0.073758, 2.431746, 96.389825, 96.389825, 96.463584, 96.463584, 96.463584, 104.344736
27, 96.880485, 1.387407, 2.647768, 96.880485, 96.880485, 98.267892, 98.267892, 104.344736, 106.992504
28, 99.763079, 0.446757, 0.194820, 99.763079, 99.763079, 100.209835, 100.209835, 106.992504, 107.187324
29, 99.792386, 1.378539, 0.686675, 99.792386, 100.209835, 101.588374, 101.588374, 107.187324, 107.873999
30, 101.439588, 2.236705, 0.146866, 101.439588, 101.588374, 103.825079, 103.825079, 107.873999, 108.020864
31, 109.636903, 1.458012, 0.184775, 109.636903, 109.636903, 111.094915, 111.094915, 111.094915, 111.279690
32, 112.132184, 0.108940, 0.695389, 112.132184, 112.132184, 112.241124, 112.241124, 112.241124, 112.936513
33, 113.501772, 0.857001, 2.919760, 113.501772, 113.501772, 114.358773, 114.358773, 114.358773, 120.318081
34, 117.246081, 1.321842, 0.576435, 117.246081, 117.246081, 118.567923, 118.567923, 120.318081, 120.894516
35, 118.353068, 0.433301, 0.139750, 118.353068, 118.567923, 119.001224, 119.001224, 120.894516, 121.034266
36, 118.478362, 1.284404, 3.920625, 118.478362, 119.001224, 120.285629, 120.285629, 121.034266, 128.245095
37, 123.254599, 3.290204, 0.697600, 123.254599, 123.254599, 126.544803, 126.544803, 128.245095, 128.942695
38, 128.972842, 2.003320, 1.208382, 128.972842, 128.972842, 130.976162, 130.976162, 132.153325, 133.361708
39, 129.936372, 1.177164, 0.101459, 129.936372, 130.976162, 132.153325, 132.153325, 133.361708, 133.463167
40, 138.085474, 0.979240, 0.420022, 138.085474, 138.085474, 139.064713, 139.064713, 139.064713, 139.484735
41, 141.719928, 0.508673, 0.387057, 141.719928, 141.719928, 142.228602, 142.228602, 142.228602, 142.615658
42, 160.276254, 0.329898, 0.116109, 160.276254, 160.276254, 160.606152, 160.606152, 160.606152, 160.722261
43, 161.073238, 0.346183, 0.694075, 161.073238, 161.073238, 161.419421, 161.419421, 161.419421, 166.648646
