identifier,tm_arrival,tm_service1,tm_service2,tm_arrival_queue1,tm_start_service1,tm_end_service1,tm_arrival_queue2,tm_start_service2,tm_end_service2
86, 183.699129, 1.154423, 0.252274, 183.699129, 184.026047, 185.180471, 185.180471, 204.482294, 204.734568
87, 183.777439, 0.026196, 0.480839, 183.777439, 185.180471, 185.206667, 185.206667, 204.734568, 205.215408
88, 186.547324, 0.353292, 0.254601, 186.547324, 186.547324, 186.900616, 186.900616, 205.215408, 206.121613
89, 186.668451, 0.167786, 0.239501, 186.668451, 186.900616, 187.068403, 187.068403, 206.121613, 206.713939
90, 188.959525, 0.134434, 1.460170, 188.959525, 188.959525, 189.093958, 189.093958, 206.713939, 212.229616
91, 193.381248, 1.228400, 2.005895, 193.381248, 193.381248, 194.609648, 194.609648, 212.229616, 214.235511
92, 194.357139, 2.879938, 0.493040, 194.357139, 194.609648, 197.489586, 197.489586, 214.235511, 214.728551
93, 195.158782, 1.344407, 0.436598, 195.158782, 197.489586, 198.833993, 198.833993, 214.728551, 215.165149
94, 200.547096, 1.921703, 0.111125, 200.547096, 200.547096, 202.468799, 202.468799, 215.165149, 215.276274
95, 200.858537, 0.286879, 0.144392, 200.858537, 202.468799, 202.755679, 202.755679, 215.276274, 215.420666
96, 202.488693, 0.238710, 0.939268, 202.488693, 202.755679, 202.994389, 202.994389, 215.420666, 216.359933
97, 204.301670, 0.024815, 1.306177, 204.301670, 204.301670, 204.326485, 204.326485, 216.359933, 217.666110
98, 205.367968, 0.524328, 1.401964, 205.367968, 205.367968, 205.892296, 205.892296, 217.666110, 219.068074
99, 205.805283, 0.127277, 0.200210, 205.805283, 205.892296, 206.019573, 206.019573, 219.068074, 219.268285
100, 206.232036, 0.352825, 0.361046, 206.232036, 206.232036, 206.584861, 206.584861, 219.268285, 219.629331
