identifier,tm_arrival,tm_service1,tm_service2,tm_arrival_queue1,tm_start_service1,tm_end_service1,tm_arrival_queue2,tm_start_service2,tm_end_service2
14052, 70007.847189, 0.646028, 0.969993, 70007.847189, 70010.713900, 70011.359928, 70011.359928, 70012.045517, 70015.306111
14053, 70011.825048, 0.007936, 0.841968, 70011.825048, 70011.825048, 70011.832984, 70011.832984, 70015.306111, 70016.148079
14054, 70012.938188, 0.992858, 0.352332, 70012.938188, 70012.938188, 70013.931046, 70013.931046, 70016.148079, 70016.500411
14055, 70013.040786, 1.297743, 0.473902, 70013.040786, 70013.931046, 70015.228789, 70015.228789, 70016.500411, 70016.974314
14056, 70017.170117, 1.265044, 0.155281, 70017.170117, 70017.170117, 70018.435161, 70018.435161, 70018.435161, 70018.590442
14057, 70020.300164, 2.449900, 2.115752, 70020.300164, 70020.300164, 70022.750064, 70022.750064, 70022.750064, 70024.865816
14058, 70025.646371, 0.163256, 2.787969, 70025.646371, 70025.646371, 70025.809627, 70025.809627, 70025.809627, 70029.413545
14059, 70026.439595, 0.815948, 1.209487, 70026.439595, 70026.439595, 70027.255543, 70027.255543, 70029.413545, 70030.623032
14060, 70035.631489, 1.834419, 0.087270, 70035.631489, 70035.631489, 70037.465908, 70037.465908, 70037.651376, 70037.738645
14061, 70036.421906, 0.185468, 0.343041, 70036.421906, 70037.465908, 70037.651376, 70037.651376, 70037.738645, 70038.081687
14062, 70047.519730, 0.648565, 0.424731, 70047.519730, 70047.519730, 70048.168295, 70048.168295, 70048.168295, 70048.593026
14063, 70050.504564, 0.704909, 0.205693, 70050.504564, 70050.504564, 70051.209473, 70051.209473, 70051.209473, 70051.415166
14064, 70054.494939, 1.146189, 0.057348, 70054.494939, 70054.494939, 70055.641128, 70055.641128, 70055.641128, 70055.698476
14065, 70065.839788, 0.448555, 0.197273, 70065.839788, 70065.839788, 70066.288342, 70066.288342, 70066.288342, 70066.485615
14066, 70067.622542, 1.309086, 2.151181, 70067.622542, 70067.622542, 70068.931628, 70068.931628, 70069.013691, 70071.164872
14067, 70068.625949, 0.082063, 1.537293, 70068.625949, 70068.931628, 70069.013691, 70069.013691, 70071.164872, 70075.828903
14068, 70071.576661, 2.260698, 3.648514, 70071.576661, 70071.576661, 70073.837358, 70073.837358, 70075.828903, 70080.814458
14069, 70072.977660, 0.866040, 0.396592, 70072.977660, 70073.837358, 70074.703399, 70074.703399, 70080.814458, 70081.211050
14070, 70076.729888, 0.388569, 0.476376, 70076.729888, 70076.729888, 70077.118457, 70077.118457, 70081.211050, 70081.687426
14071, 70078.339585, 0.948472, 0.673796, 70078.339585, 70078.339585, 70079.288056, 70079.288056, 70081.687426, 70082.361222
14072, 70088.333117, 1.060262, 0.040108, 70088.333117, 70088.333117, 70089.393379, 70089.393379, 70089.393379, 70089.433487
14073, 70093.006977, 0.111917, 3.752437, 70093.006977, 70093.006977, 70093.118894, 70093.118894, 70098.497445, 70102.546130
14074, 70093.008180, 5.378551, 1.373018, 70093.008180, 70093.118894, 70098.497445, 70098.497445, 70102.546130, 70104.159569
14075, 70101.194121, 0.296248, 3.065763, 70101.194121, 70101.194121, 70101.490369, 70101.490369, 70104.159569, 70107.347791
14076, 70103.198093, 0.240420, 1.314649, 70103.198093, 70103.198093, 70103.438514, 70103.438514, 70107.347791, 70110.087537
14077, 70105.127935, 0.122460, 1.046697, 70105.127935, 70105.127935, 70105.250395, 70105.250395, 70110.087537, 70111.134234
14078, 70107.542875, 1.425098, 1.963546, 70107.542875, 70107.542875, 70108.967973, 70108.967973, 70111.134234, 70114.423191
14079, 70112.517686, 1.325411, 2.570273, 70112.517686, 70112.517686, 70113.843096, 70113.843096, 70114.423191, 70117.729358
14080, 70115.435211, 0.735894, 1.131431, 70115.435211, 70115.435211, 70116.171106, 70116.171106, 70117.729358, 70118.860789
14081, 70120.388068, 0.461322, 0.010444, 70120.388068, 70120.388068, 70120.849390, 70120.849390, 70120.849390, 70120.859833
14082, 70121.181762, 1.413431, 2.039149, 70121.181762, 70121.181762, 70122.595193, 70122.595193, 70122.595193, 70124.634342
14083, 70138.742038, 0.191069, 0.029059, 70138.742038, 70138.742038, 70138.933107, 70138.933107, 70138.933107, 70138.962166
14084, 70145.281419, 0.179727, 2.256554, 70145.281419, 70145.281419, 70145.461146, 70145.461146, 70145.461146, 70148.067981
14085, 70146.721210, 0.350282, 0.266187, 70146.721210, 70146.721210, 70147.071492, 70147.071492, 70148.067981, 70148.334168
14086, 70153.161061, 0.014697, 0.352477, 70153.161061, 70153.161061, 70153.175758, 70153.175758, 70153.175758, 70153.528235
14087, 70157.439691, 1.257511, 3.196363, 70157.439691, 70157.439691, 70158.697202, 70158.697202, 70161.659855, 70164.856218
14088, 70158.017806, 0.375044, 0.275339, 70158.017806, 70158.697202, 70159.072246, 70159.072246, 70164.856218, 70165.131557
14089, 70158.999075, 2.189873, 1.913960, 70158.999075, 70159.072246, 70161.262119, 70161.262119, 70165.131557, 70167.045517
14090, 70159.210003, 0.397736, 0.071287, 70159.210003, 70161.262119, 70161.659855, 70161.659855, 70167.045517, 70167.116804
14091, 70167.493649, 4.826994, 1.141638, 70167.493649, 70167.493649, 70172.320643, 70172.320643, 70178.153300, 70179.294937
