round,Nq1,Nq2,N1,N2,W1,W2,X1,X2,T1,T2
3019, 0.000000, 0.000000, 0.024436, 0.024113, 0.000000, 0.000000, 0.780105, 0.769799, 0.780105, 0.769799
3020, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
3021, 0.093992, 0.032486, 0.215020, 0.063404, 1.904217, 0.110389, 0.547754, 0.515999, 2.451972, 0.626388
3022, 0.000000, 0.000000, 0.037623, 0.009311, 0.000000, -0.000000, 0.487444, 0.120632, 0.487444, 0.120632
3023, 0.000000, 0.000000, 0.796128, 0.203872, 0.000000, 0.000000, 0.141154, 0.000000, 0.141154, 0.000000
3024, 0.000000, 0.038234, 0.010601, 0.267740, 0.000000, 0.161976, 0.062139, 1.183313, 0.062139, 1.345289
3025, 0.000000, 0.000000, 0.020170, 0.029436, 0.000000, -0.000000, 0.641486, 0.936174, 0.641486, 0.936174
3026, 0.000000, 0.000000, 0.165443, 0.010070, 0.000000, -0.000000, 3.254529, 0.198086, 3.254529, 0.198086
3027, 0.000000, 0.000000, 0.256685, 0.360160, 0.000000, -0.000000, 2.266870, 3.180687, 2.266870, 3.180687
3028, 0.000000, 0.000000, 0.024857, 0.030673, 0.000000, -0.000000, 0.815026, 1.005736, 0.815026, 1.005736
3029, 0.000000, 0.000000, 0.200130, 0.350934, 0.000000, -0.000000, 1.626395, 2.851939, 1.626395, 2.851939
3030, 0.000000, 0.000000, 0.058012, 0.108602, 0.000000, 0.000000, 0.580069, 1.085923, 0.580069, 1.085923
3031, 0.000000, 0.000000, 0.120652, 0.080663, 0.000000, -0.000000, 1.329075, 0.888559, 1.329075, 0.888559
3032, 0.000000, 0.000000, 0.207947, 0.290680, 0.000000, 0.000000, 1.034418, 1.445964, 1.034418, 1.445964
3033, 0.000000, 0.000000, 0.116625, 0.058401, 0.000000, 0.000000, 1.419738, 0.710952, 1.419738, 0.710952
3034, 0.000000, 0.000000, 0.047564, 0.035426, 0.000000, 0.000000, 1.066138, 0.794058, 1.066138, 0.794058
3035, 0.000000, 0.000000, 0.209417, 0.046981, 0.000000, -0.000000, 3.210493, 0.720249, 3.210493, 0.720249
3036, 0.000000, 0.000000, 0.000672, 0.010913, 0.000000, -0.000000, 0.024922, 0.404532, 0.024922, 0.404532
3037, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
3038, 0.002258, 0.106103, 0.063258, 0.155969, 0.050979, 1.069477, 1.326525, 0.056602, 1.377504, 1.126079
3039, 0.000000, 0.000000, 0.249637, 0.127160, 0.000000, 0.000000, 2.804128, 1.428362, 2.804128, 1.428362
3040, 0.000000, 0.000000, 0.002089, 0.061169, 0.000000, 0.000000, 0.056375, 1.650506, 0.056375, 1.650506
3041, 0.000000, 0.000000, 0.532893, 0.376027, 0.000000, 0.000000, 0.682596, 0.481663, 0.682596, 0.481663
3042, 0.000000, 0.000000, 0.109586, 0.006249, 0.000000, 0.000000, 1.537114, 0.087645, 1.537114, 0.087645
3043, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
3044, 0.594531, 0.405469, 1.523686, 0.476314, 1.013752, 0.000000, 0.570576, 0.000000, 1.584328, 0.000000
3045, 0.000000, 0.034374, 0.005610, 0.055280, 0.000000, 1.332980, 0.547145, 0.706027, 0.547145, 2.039006
3046, 0.000000, 0.000000, 0.047707, 0.500221, 0.000000, -0.000000, 0.239132, 2.507362, 0.239132, 2.507362
3047, 0.000000, 0.000000, 0.012411, 0.133334, 0.000000, 0.000000, 0.117400, 1.261283, 0.117400, 1.261283
3048, 0.000000, 0.000000, 0.025444, 0.007093, 0.000000, 0.000000, 0.856839, 0.238848, 0.856839, 0.238848
3049, 0.000000, 0.000000, 0.023857, 0.005939, 0.000000, -0.000000, 0.746464, 0.185841, 0.746464, 0.185841
3050, 0.000000, 0.000000, 0.038082, 0.007934, 0.000000, -0.000000, 1.717113, 0.357747, 1.717113, 0.357747
3051, 0.000000, 0.000000, 0.025013, 0.274856, 0.000000, -0.000000, 0.173062, 1.901688, 0.173062, 1.901688
3052, 0.000000, 0.000000, 0.084462, 0.106856, 0.000000, -0.000000, 0.995618, 1.259587, 0.995618, 1.259587
3053, 0.000000, 0.000000, 0.078199, 0.027214, 0.000000, 0.000000, 1.168376, 0.406599, 1.168376, 0.406599
3054, 0.000000, 0.000000, 0.029387, 0.050843, 0.000000, 0.000000, 0.497567, 0.860836, 0.497567, 0.860836
3055, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
3056, 0.000448, 0.038398, 0.034683, 0.053868, 0.014980, 0.154165, 1.129613, 0.363033, 1.144592, 0.517198
3057, 0.000000, 0.000000, 0.062427, 0.070946, 0.000000, 0.000000, 0.646869, 0.735136, 0.646869, 0.735136
