round,Nq1,Nq2,N1,N2,W1,W2,X1,X2,T1,T2
1, 0.000000, 1.397083, 0.410453, 1.986630, 0.000000, 0.000000, 1.011188, 0.000000, 1.011188, 0.000000
2, 0.000000, 2.565464, 0.389099, 3.176365, 0.000000, 0.000000, 0.336425, 0.000000, 0.336425, 0.000000
3, 0.000000, 3.000000, 1.000000, 3.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
4, 0.956712, 3.043288, 1.956712, 3.043288, 0.982948, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
5, 0.528160, 4.471840, 1.482287, 4.517713, 0.863064, 0.000000, 0.696069, 0.000000, 1.559133, 0.000000
6, 0.000000, 6.000000, 1.000000, 6.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
7, 0.465927, 6.534073, 1.404514, 6.595486, 1.152083, 0.000000, 1.168736, 0.000000, 2.320819, 0.000000
8, 0.000000, 7.355134, 0.102728, 8.252406, 0.000000, 0.000000, 0.327050, 0.000000, 0.327050, 0.000000
9, 0.000000, 8.000000, 1.000000, 8.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
10, 1.000000, 8.000000, 2.000000, 8.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
11, 0.286053, 9.425503, 0.768618, 9.942939, 1.107128, 0.000000, 0.956253, 0.000000, 2.063380, 0.000000
12, 0.000000, 9.861529, 0.766483, 10.095046, 0.000000, 0.000000, 2.565898, 0.000000, 2.565898, 0.000000
13, 0.000000, 9.645358, 0.378006, 10.267352, 0.000000, 0.000000, 0.654503, 0.000000, 0.654503, 0.000000
14, 0.000000, 10.000000, 1.000000, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
15, 0.176328, 8.917726, 0.363494, 9.730561, 1.092455, 0.000000, 0.067144, 0.000000, 1.159599, 0.000000
16, 0.000000, 5.146610, 0.441838, 5.704772, 0.000000, 0.000000, 1.424157, 0.000000, 1.424157, 0.000000
17, 0.000000, 2.628809, 0.057794, 3.571014, 0.000000, 0.000000, 0.045923, 0.000000, 0.045923, 0.000000
18, 0.000000, 2.361379, 0.406159, 2.955219, 0.000000, 0.000000, 0.655602, 0.000000, 0.655602, 0.000000
19, 0.000000, 0.726738, 0.068180, 1.241427, 0.000000, 2.584048, 0.571255, 1.728367, 0.571255, 4.312415
20, 0.000000, 0.000000, 0.463641, 0.111938, 0.000000, 0.000000, 3.188601, 0.769830, 3.188601, 0.769830
21, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
22, 0.717460, 0.233485, 1.525335, 0.425611, 1.934290, 0.000000, 0.243760, 0.000000, 2.178050, 0.000000
23, 0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
24, 1.000000, 1.000000, 2.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
25, 0.358371, 1.813835, 0.607875, 2.540779, 0.933016, 2.341261, 0.211901, 0.994511, 1.144917, 3.335772
26, 0.000000, 0.000000, 0.008376, 0.047020, 0.000000, 0.000000, 0.029535, 0.165802, 0.029535, 0.165802
27, 0.000000, 0.000000, 0.479801, 0.520199, 0.000000, 0.000000, 0.536768, 0.000000, 0.536768, 0.000000
28, 0.000000, 0.327615, 0.009215, 0.682243, 0.000000, 0.949720, 0.027485, 0.108058, 0.027485, 1.057778
29, 0.000000, 0.000000, 0.087721, 0.130519, 0.000000, 0.000000, 0.319066, 0.474736, 0.319066, 0.474736
30, 0.000000, 0.000000, 0.407766, 0.080186, 0.000000, -0.000000, 1.146723, 0.225499, 1.146723, 0.225499
31, 0.000000, 0.000000, 0.044816, 0.046665, 0.000000, -0.000000, 0.171001, 0.178055, 0.171001, 0.178055
32, 0.000000, 0.000000, 0.506531, 0.493469, 0.000000, 0.000000, 1.010125, 0.000000, 1.010125, 0.000000
33, 0.000000, 0.796495, 0.610506, 1.170430, 0.000000, 0.345282, 1.133380, 0.348914, 1.133380, 0.694196
34, 0.000000, 0.000000, 0.529345, 0.029704, 0.000000, 0.000000, 0.721083, 0.040464, 0.721083, 0.040464
35, 0.000000, 0.000000, 0.629024, 0.370976, 0.000000, 0.000000, 0.514619, 0.000000, 0.514619, 0.000000
36, 0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
37, 0.586904, 1.413096, 1.586904, 1.413096, 1.761879, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
38, 1.000000, 2.000000, 2.000000, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
39, 1.697117, 2.302883, 2.697117, 2.302883, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
40, 0.345214, 2.778400, 0.562278, 3.561337, 1.494850, 0.000000, 0.159666, 0.000000, 1.654516, 0.000000
41, 0.000000, 1.561412, 0.074851, 2.486562, 0.000000, 0.000000, 0.171892, 0.000000, 0.171892, 0.000000
42, 0.000000, 2.000000, 0.666632, 2.333368, 0.000000, 0.000000, 1.163924, 0.000000, 1.163924, 0.000000
43, 0.000000, 1.504003, 0.151963, 2.352040, 0.000000, 0.000000, 0.446889, 0.000000, 0.446889, 0.000000
44, 0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
45, 0.532586, 1.467414, 1.532586, 1.467414, 0.504848, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
46, 1.000000, 2.000000, 2.000000, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
47, 0.465600, 3.209906, 1.044141, 3.631365, 1.346313, 0.000000, 1.355715, 0.000000, 2.702027, 0.000000
48, 0.000000, 1.796431, 0.153826, 2.323692, 0.000000, 2.198211, 0.964566, 1.107984, 0.964566, 3.306195
49, 0.000000, 0.000000, 0.242326, 0.023516, 0.000000, -0.000000, 2.230572, 0.216463, 2.230572, 0.216463
50, 0.000000, 0.000000, 0.276615, 0.001756, 0.000000, 0.000000, 1.516447, 0.009627, 1.516447, 0.009627
51, 0.000000, 0.000000, 0.601161, 0.287665, 0.000000, -0.000000, 1.613848, 0.772253, 1.613848, 0.772253
52, 0.000000, 0.000000, 0.358119, 0.641881, 0.000000, 0.000000, 0.218783, 0.000000, 0.218783, 0.000000
53, 0.000000, 0.867144, 0.739383, 1.127761, 0.000000, 0.000000, 1.018968, 0.000000, 1.018968, 0.000000
54, 0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
55, 0.302972, 1.697028, 0.944853, 2.055147, 0.329704, 0.000000, 0.368813, 0.000000, 0.698517, 0.000000
56, 0.000000, 2.295063, 0.225849, 3.069215, 0.000000, 0.000000, 0.120006, 0.000000, 0.120006, 0.000000
57, 0.000000, 0.213182, 0.017160, 0.472368, 0.000000, 0.722169, 0.063219, 0.232702, 0.063219, 0.954870
58, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
59, 1.000000, 0.000000, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
60, 1.180788, 0.819212, 2.180788, 0.819212, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
61, 2.000000, 1.000000, 3.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
62, 2.785818, 1.214182, 3.785818, 1.214182, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
63, 1.877630, 3.122370, 2.877630, 3.122370, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
64, 1.320316, 4.679684, 2.320316, 4.679684, 2.628446, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
65, 0.174537, 6.825463, 1.053009, 6.946991, 0.176556, 0.000000, 0.712082, 0.000000, 0.888638, 0.000000
66, 0.000000, 7.804729, 0.165030, 8.639699, 0.000000, 0.000000, 0.364726, 0.000000, 0.364726, 0.000000
67, 0.000000, 8.000000, 1.000000, 8.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
68, 0.007443, 8.693811, 0.389069, 9.312185, 0.005098, 0.000000, 0.256264, 0.000000, 0.261362, 0.000000
69, 0.000000, 9.000000, 0.906658, 9.093342, 0.000000, 0.000000, 0.744680, 0.000000, 0.744680, 0.000000
70, 0.000000, 10.000000, 0.657119, 10.342881, 0.000000, 0.000000, 1.578856, 0.000000, 1.578856, 0.000000
71, 0.000000, 9.693182, 0.067056, 10.626127, 0.000000, 0.000000, 0.245024, 0.000000, 0.245024, 0.000000
72, 0.000000, 6.496702, 0.039642, 7.457060, 0.000000, 0.000000, 0.171744, 0.000000, 0.171744, 0.000000
73, 0.000000, 4.647025, 0.219203, 5.427822, 0.000000, 0.000000, 0.535103, 0.000000, 0.535103, 0.000000
74, 0.000000, 2.000000, 0.807038, 2.192962, 0.000000, 0.000000, 1.037494, 0.000000, 1.037494, 0.000000
75, 0.000000, 3.000000, 1.000000, 3.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
76, 0.859484, 3.039143, 1.737161, 3.161465, 5.573783, 0.000000, 0.117989, 0.000000, 5.691772, 0.000000
77, 0.000000, 2.000000, 0.248424, 2.751576, 0.000000, 0.000000, 0.368624, 0.000000, 0.368624, 0.000000
78, 0.000000, 2.147226, 0.313715, 2.833511, 0.000000, 0.000000, 1.300550, 0.000000, 1.300550, 0.000000
79, 0.000000, 1.000000, 0.032399, 1.967601, 0.000000, 0.000000, 0.004560, 0.000000, 0.004560, 0.000000
80, 0.000000, 2.000000, 1.000000, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
81, 0.167106, 2.133410, 0.420368, 2.880149, 1.609432, 0.000000, 0.829779, 0.000000, 2.439211, 0.000000
82, 0.000000, 3.000000, 1.000000, 3.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
83, 1.000000, 3.000000, 2.000000, 3.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
84, 1.975391, 3.024609, 2.975391, 3.024609, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
85, 1.928620, 4.071380, 2.928620, 4.071380, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
86, 1.319844, 5.680156, 2.319844, 5.680156, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
87, 0.101694, 4.513081, 0.174525, 5.440250, 0.227095, 0.000000, 0.068332, 0.000000, 0.295427, 0.000000
88, 0.000000, 2.580438, 0.753990, 2.826448, 0.000000, 0.000000, 2.246383, 0.000000, 2.246383, 0.000000
89, 0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
90, 0.062649, 1.320279, 0.704277, 1.678652, 0.094008, 0.000000, 0.868781, 0.000000, 0.962789, 0.000000
91, 0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
92, 0.058001, 1.941999, 1.058001, 1.941999, 0.123075, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
93, 1.000000, 2.000000, 2.000000, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
94, 1.022268, 2.977732, 2.022268, 2.977732, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
95, 1.941448, 3.058552, 2.941448, 3.058552, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
