round,Nq1,Nq2,N1,N2,W1,W2,X1,X2,T1,T2,VarW1,VarW2
17483, 0.000, 0.721, 0.326, 1.320, 0.000, 1.839, 1.517, 0.947, 1.517, 2.786, -nan, inf
17484, 0.000, 0.000, 0.934, 0.066, 0.000, 0.000, 4.275, 0.000, 4.275, 0.000, -nan, 0.000
17485, 0.000, 0.168, 0.046, 0.814, 0.000, 0.311, 0.118, 1.342, 0.118, 1.653, -nan, inf
17486, 0.000, 0.000, 0.067, 0.070, 0.000, -0.000, 0.653, 0.678, 0.653, 0.678, -nan, -nan
17487, 0.000, 0.000, 0.268, 0.393, 0.000, -0.000, 1.604, 2.349, 1.604, 2.349, -nan, -nan
17488, 0.000, 0.000, 0.080, 0.917, 0.000, 0.000, 0.188, 2.154, 0.188, 2.154, -nan, -nan
17489, 0.000, 0.000, 0.092, 0.012, 0.000, -0.000, 0.643, 0.083, 0.643, 0.083, -nan, -nan
17490, 0.000, 0.000, 0.121, 0.395, 0.000, -0.000, 0.530, 1.726, 0.530, 1.726, -nan, -nan
17491, 0.000, 0.000, 0.107, 0.893, 0.000, 0.000, 0.274, 0.000, 0.274, 0.000, -nan, 0.000
17492, 0.000, 1.000, 0.681, 1.319, 0.000, 0.000, 3.609, 0.000, 3.609, 0.000, -nan, 0.000
17493, 0.000, 2.000, 1.000, 2.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -nan, 0.000
17494, 0.153, 1.131, 0.352, 1.671, 0.773, 1.630, 0.233, 1.097, 1.006, 2.727, -nan, inf
17495, 0.000, 0.000, 0.287, 0.037, 0.000, 0.000, 0.868, 0.111, 0.868, 0.111, -nan, -nan
17496, 0.000, 0.000, 0.057, 0.089, 0.000, 0.000, 0.661, 1.028, 0.661, 1.028, -nan, -nan
17497, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -nan, 0.000
17498, 0.258, 0.142, 0.572, 0.332, 2.324, 0.770, 0.507, 0.946, 2.831, 1.716, -nan, inf
17499, 0.000, 0.000, 0.100, 0.671, 0.000, 0.000, 0.217, 1.461, 0.217, 1.461, -nan, -nan
17500, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -nan, 0.000
17501, 0.613, 0.387, 1.328, 0.672, 0.300, 0.000, 0.050, 0.000, 0.349, 0.000, -nan, 0.000
17502, 0.000, 2.000, 0.507, 2.493, 0.000, 0.000, 1.077, 0.000, 1.077, 0.000, -nan, 0.000
17503, 0.000, 2.657, 0.038, 3.619, 0.000, 0.000, 0.027, 0.000, 0.027, 0.000, -nan, 0.000
17504, 0.000, 1.965, 0.453, 2.512, 0.000, 0.000, 2.251, 0.000, 2.251, 0.000, -nan, 0.000
17505, 0.000, 0.766, 0.102, 1.664, 0.000, 0.000, 0.138, 0.000, 0.138, 0.000, -nan, 0.000
17506, 0.000, 0.523, 0.209, 1.108, 0.000, 1.186, 0.792, 1.027, 0.792, 2.213, -nan, inf
